Date,Open,High,Low,Close,Adj Close,Volume
10-08-2012,14.05,14.2,14,14,12.978291,31846200
13-08-2012,13.97,15.27,13.96,14.15,13.117345,2061800
14-08-2012,14.2,14.48,14.15,14.2,13.163694,204800
15-08-2012,14.42,14.88,14.03,14.05,13.024641,563500
16-08-2012,14.07,14.08,13.29,13.77,12.765076,1605600
17-08-2012,13.82,13.84,13.36,13.42,12.440619,532500
20-08-2012,13.46,13.57,12.8,13.06,12.106893,984800
21-08-2012,13.3,13.33,13.08,13.19,12.227405,317900
22-08-2012,13.44,13.44,13.02,13.13,12.171783,447300
23-08-2012,13.09,13.5,13.09,13.25,12.283026,561500
24-08-2012,13.47,13.47,13.12,13.26,12.292295,193800
27-08-2012,13.4,13.83,13.31,13.83,12.820697,289500
28-08-2012,13.85,13.85,13.53,13.53,12.542591,242600
29-08-2012,13.75,13.75,13.5,13.57,12.579674,262100
30-08-2012,13.67,13.67,13.36,13.41,12.431348,202200
31-08-2012,13.52,13.53,13.27,13.3,12.329377,250900
04-09-2012,13.6,13.65,13.1,13.19,12.227405,512200
05-09-2012,13.14,13.2,12.75,12.9,11.958567,407800
06-09-2012,12.9,13.18,12.84,12.88,11.940029,200500
07-09-2012,13.16,13.16,12.59,12.6,11.680462,294000
10-09-2012,12.46,12.59,12.43,12.49,11.57849,263500
11-09-2012,12.46,12.51,12.25,12.31,11.411629,315000
12-09-2012,12.11,12.5,12.11,12.18,11.291112,243900
13-09-2012,12.1,12.43,12,12.39,11.485788,642700
14-09-2012,12.45,12.5,12.13,12.45,11.541408,224400
17-09-2012,12.44,13.37,12.39,12.96,12.01419,440600
18-09-2012,12.06,13.05,12.06,12.58,11.661921,392300
19-09-2012,12.82,12.82,12.37,12.47,11.559948,248600
20-09-2012,12.45,12.5,12.39,12.41,11.504329,102100
21-09-2012,12.52,12.76,12.45,12.72,11.791705,90700
24-09-2012,12.75,13.49,12.75,13.37,12.394266,258500
25-09-2012,13.37,13.44,13.16,13.38,12.403538,122900
26-09-2012,13.39,13.39,13.12,13.25,12.283026,67300
27-09-2012,13.28,13.37,13.1,13.26,12.292295,70800
28-09-2012,13.26,13.26,12.73,12.73,11.800974,161800
01-10-2012,12.77,13,12.5,12.55,11.634111,91000
02-10-2012,12.61,12.73,12.5,12.56,11.643381,61100
03-10-2012,12.58,13.22,12.5,13.05,12.097623,221700
04-10-2012,13.11,13.11,12.88,13,12.051271,127200
05-10-2012,13,13.13,12.9,12.98,12.032728,88800
08-10-2012,13,13.09,12.75,13,12.051271,144100
09-10-2012,13.03,13.48,12.94,13.36,12.384998,101000
10-10-2012,13.32,13.32,12.87,13.25,12.283026,148700
11-10-2012,13.29,13.29,12.74,12.86,11.921486,91600
12-10-2012,12.9,13,12.84,12.88,11.940029,72300
15-10-2012,12.92,12.93,12.6,12.63,11.708273,80000
16-10-2012,12.63,12.71,12.5,12.5,11.587761,121900
17-10-2012,12.55,12.6,12.2,12.26,11.365274,110700
18-10-2012,12.37,12.45,12.27,12.28,11.383814,42600
19-10-2012,12.45,12.46,12.23,12.25,11.356006,107000
22-10-2012,12.27,12.5,12.27,12.38,11.476519,58200
23-10-2012,12.29,12.35,12.2,12.25,11.356006,24700
24-10-2012,12.26,12.42,12.25,12.3,11.402357,31300
25-10-2012,12.5,12.68,12.36,12.43,11.522869,59600
